No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
170.0,simplest.txt,2,10,10,networkx,0,2,0,1.7758967876434326,0.0005922317504882812,0,2025-05-07 20:51:50
171.0,simplest.txt,2,10,10,networkx,0,2,0,0.6781980991363525,0.0007593631744384766,0,2025-05-08 01:39:14
172.0,simplest.txt,2,10,10,networkx,0,2,0,0.5731856822967529,0.0008866786956787109,0,2025-05-08 01:40:37
173.0,simplest.txt,2,10,10,networkx,0,2,0,0.045897483825683594,0.0007719993591308594,0,2025-05-08 01:41:03
174.0,simplest.txt,2,10,10,networkx,0,2,0,0.04889488220214844,0.0008640289306640625,0,2025-05-08 01:50:40
175.0,simplest.txt,2,10,10,solver,0,2,0,0.04914093017578125,0.037748,0,2025-05-08 01:50:40
176.0,simplest.txt,2,10,10,networkx,2,0,15.0,1.0905368328094482,0.0007271766662597656,0,2025-05-08 01:52:26
177.0,simplest.txt,2,10,10,solver,2,0,15.0,0.014092206954956055,0.010672,0,2025-05-08 01:52:26
178.0,simplest.txt,2,10,10,networkx,0,2,0,1.616384506225586,0.0008587837219238281,0,2025-05-08 01:53:01
179.0,simplest.txt,2,10,10,solver,0,2,0,0.009580135345458984,0.005153,0,2025-05-08 01:54:16
180.0,simplest.txt,2,10,10,networkx,0,2,0,1.3396053314208984,0.0006449222564697266,0,2025-05-08 01:59:10
181.0,simplest.txt,2,10,10,networkx,0,2,0,0.04106640815734863,0.0007636547088623047,0,2025-05-08 02:05:01
182.0,simplest.txt,2,10,10,networkx,0,2,0,1.8851842880249023,0.0007715225219726562,0,2025-05-08 03:39:19
183.0,simplest.txt,2,10,10,networkx,0,2,0,0.7139947414398193,0.0007402896881103516,0,2025-05-08 03:53:47
184.0,simplest.txt,2,10,10,networkx,0,2,0,13.613066673278809,0.0012698173522949219,0,2025-06-01 14:42:22
185.0,simplest.txt,2,10,10,networkx,0,2,0,2.4532952308654785,0.000919342041015625,0,2025-06-01 14:43:54
186.0,simplest.txt,2,10,10,networkx,0,2,0,2.6091561317443848,0.003950834274291992,0,2025-06-01 14:55:44
187.0,simplest.txt,2,10,10,networkx,0,2,0,2.45088267326355,0.004813432693481445,0,2025-06-01 14:56:47
188.0,simplest.txt,2,10,10,networkx,0,2,0,1.3120367527008057,0.0009653568267822266,0,2025-06-01 15:06:22
189.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,3.1777570247650146,0.0024347305297851562,0,2025-06-01 15:15:06
190.0,simplest.txt,2,10,10,networkx,0,2,0,7.339972257614136,0.0021927356719970703,0,2025-06-06 09:32:23
191.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.13602638244628906,0.0008714199066162109,0,2025-06-06 21:55:06
192.0,simplest.txt,2,10,10,solver,2,0,15.0,0.11355781555175781,0.086297,0,2025-06-06 21:55:06
